c_date_call,option_symbol_call,dte_call,stocks_id_call,expiration_date,call_put_call,price_strike,price_open_call,price_high_call,price_low_call,price_call,volume_call,openinterest_call,iv_call,delta_call,preiv_call,gamma_call,theta_call,vega_call,rho_call,Ask_call,Bid_call,underlying_price_call,calc_OTM_call,option_id_call,is_settlement_call,c_date_put,option_symbol_put,dte_put,stocks_id_put,call_put_put,price_open_put,price_high_put,price_low_put,price_put,volume_put,openinterest_put,iv_put,delta_put,preiv_put,gamma_put,theta_put,vega_put,rho_put,Ask_put,Bid_put,underlying_price_put,calc_OTM_put,option_id_put,is_settlement_put,vol_weighted,delta_diff
2021-12-02,AAPL  211210C00167500,8,799,2021-12-10,C,167.5,0.75,1.64,0.66,1.495,47980,23907,0.306777,0.317709,0.306777,0.047937,-0.16584,0.086438,0.011076,1.55,1.44,163.76,2.2800000000000002,117880791,0,2021-12-02,AAPL  211210P00167500,8,799,P,9.5,10.0,5.0,5.075,1822,1797,0.288225,-0.694299,0.288225,0.050381,-0.1535,0.08414,-0.022096,5.7,4.45,163.76,-2.2800000000000002,117880792,0,0.294119137368,0.06770900000000002
2021-12-02,AAPL  211210C00157500,8,799,2021-12-10,C,157.5,4.35,7.8,3.81,7.375,1443,2865,0.353599,0.779661,0.353599,0.03457,-0.159042,0.071849,0.026368,8.0,6.75,163.76,-3.82,117880787,0,2021-12-02,AAPL  211210P00157500,8,799,P,3.1,3.42,1.14,1.13,11260,12010,0.355828,-0.221448,0.355828,0.034575,-0.160738,0.071567,-0.007706,1.27,0.99,163.76,3.82,117880788,0,0.354090135631,0.02966100000000005
2021-12-02,AAPL  211210C00160000,8,799,2021-12-10,C,160.0,3.15,5.85,2.69,5.5,83976,61583,0.343235,0.685401,0.343235,0.042666,-0.184882,0.086077,0.023395,5.75,5.25,163.76,-2.3,117642407,0,2021-12-02,AAPL  211210P00160000,8,799,P,4.5,4.63,1.66,1.7850001,39329,19787,0.348365,-0.316775,0.348365,0.042314,-0.188531,0.086447,-0.010914,1.87,1.7,163.76,2.3,117642408,0,0.34484889287,0.06459899999999996
2021-12-02,AAPL  211217C00170000,15,799,2021-12-17,C,170.0,0.91,1.72,0.75,1.64,55186,52832,0.297166,0.277574,0.297166,0.033978,-0.110331,0.111279,0.018006,1.74,1.54,163.76,3.81,115343549,0,2021-12-02,AAPL  211217P00170000,15,799,P,12.23,12.73,7.7,7.8,850,4866,0.290185,-0.727869,0.290185,0.034588,-0.106697,0.109302,-0.043104,8.2,7.4,163.76,-3.81,115343550,0,0.292122744094,0.027573999999999987
2021-12-02,AAPL  211217C00172500,15,799,2021-12-17,C,172.5,0.6,1.13,0.51,1.075,11118,17017,0.295743,0.201381,0.295743,0.028633,-0.092076,0.093326,0.013111,1.15,1.0,163.76,5.34,118048517,0,2021-12-02,AAPL  211217P00172500,15,799,P,14.55,15.0,10.0,9.875,166,497,0.30246,-0.793267,0.30246,0.028538,-0.095578,0.094704,-0.045621,10.5,9.25,163.76,-5.34,118048518,0,0.301107323823,0.048618999999999996
2021-12-02,AAPL  211217C00157500,15,799,2021-12-17,C,157.5,5.23,8.5,4.7,8.2,8704,4478,0.336616,0.72768,0.336616,0.029715,-0.123952,0.110236,0.045602,8.45,7.95,163.76,-3.82,118048511,0,2021-12-02,AAPL  211217P00157500,15,799,P,4.05,4.1,1.86,1.94,14301,7203,0.336864,-0.272277,0.336864,0.029805,-0.124138,0.111627,-0.017749,2.04,1.84,163.76,3.82,118048512,0,0.33668353536,0.022320000000000007
2021-12-02,AAPL  211217C00160000,15,799,2021-12-17,C,160.0,3.8,6.7,3.33,6.375,42359,99665,0.32303,0.650989,0.32303,0.034504,-0.132503,0.122837,0.041191,6.75,6.0,163.76,-2.3,115343545,0,2021-12-02,AAPL  211217P00160000,15,799,P,5.25,5.5,2.51,2.625,15271,44211,0.323935,-0.349278,0.323935,0.034549,-0.133039,0.123163,-0.022582,2.75,2.5,163.76,2.3,115343546,0,0.32334585495499996,0.09901099999999996
2021-12-02,AAPL  211223C00172500,21,799,2021-12-23,C,172.5,1.0,1.53,0.85,1.385,1097,5198,0.276951,0.227024,0.276951,0.027709,-0.078168,0.118404,0.020593,1.57,1.2,163.76,5.34,117880805,0,2021-12-02,AAPL  211223P00172500,21,799,P,14.1,14.1,11.05,10.25,5,194,0.287874,-0.763858,0.287874,0.027356,-0.082935,0.121391,-0.062397,12.5,8.0,163.76,-5.34,117880806,0,0.28539421684800004,0.022975999999999996
2021-12-02,AAPL  211223C00170000,21,799,2021-12-23,C,170.0,1.41,2.16,1.14,2.0,39137,12490,0.277927,0.299156,0.277927,0.031808,-0.09038,0.136399,0.027035,2.15,1.85,163.76,3.81,117726795,0,2021-12-02,AAPL  211223P00170000,21,799,P,13.17,13.17,8.35,8.125,296,833,0.269914,-0.707236,0.269914,0.032568,-0.086848,0.137311,-0.058971,8.8,7.45,163.76,-3.81,117726796,0,0.27231113702799997,0.04915599999999998
2021-12-02,AAPL  211223C00155000,21,799,2021-12-23,C,155.0,7.38,10.6,7.0,10.75,422,12050,0.34375,0.760727,0.34375,0.022985,-0.100068,0.121909,0.065489,11.45,10.05,163.76,-5.35,117726789,0,2021-12-02,AAPL  211223P00155000,21,799,P,3.63,3.63,1.83,1.85,1629,8956,0.332772,-0.232605,0.332772,0.023472,-0.095383,0.123351,-0.021359,1.98,1.72,163.76,5.35,117726790,0,0.341123261006,0.010727000000000042
2021-12-02,AAPL  211223C00157500,21,799,2021-12-23,C,157.5,6.07,8.7,5.4,8.95,728,6603,0.34033,0.698097,0.34033,0.026083,-0.111252,0.136963,0.060624,9.65,8.25,163.76,-3.82,117880799,0,2021-12-02,AAPL  211223P00157500,21,799,P,4.5,4.6,2.35,2.525,814,770,0.328781,-0.296311,0.328781,0.026893,-0.106665,0.13887,-0.027033,2.9,2.15,163.76,3.82,117880800,0,0.336843322253,0.05190300000000003
2021-12-02,AAPL  211231C00172500,29,799,2021-12-31,C,172.5,1.45,2.02,1.18,1.9,988,1672,0.271153,0.260758,0.271153,0.025954,-0.070217,0.14995,0.032418,2.05,1.75,163.76,5.34,117880815,0,2021-12-02,AAPL  211231P00172500,29,799,P,14.0,14.8,11.2,10.675,12,109,0.274118,-0.737054,0.274118,0.025891,-0.071098,0.153064,-0.084135,13.0,8.35,163.76,-5.34,117880816,0,0.27334485252999996,0.01075799999999999
